地区,日期,最高温度,最低温度
北京,2011年05月27日,29,18
北京,2011年05月28日,33,21
北京,2011年05月29日,28,17
北京,2011年05月30日,30,19
北京,2011年05月31日,29,18
北京,2011年06月01日,32,19
北京,2011年06月02日,35,22
北京,2011年06月03日,33,20
北京,2011年06月04日,31,21
北京,2011年06月05日,33,22
北京,2011年06月06日,33,20
北京,2011年06月07日,36,21
北京,2011年06月08日,34,21
北京,2011年06月09日,34,22
北京,2011年06月10日,31,18
北京,2011年06月11日,29,18
北京,2011年06月12日,35,20
北京,2011年06月13日,35,21
北京,2011年06月14日,33,23
北京,2011年06月15日,32,19
北京,2011年06月16日,27,19
北京,2011年06月17日,29,21
北京,2011年06月18日,33,22
北京,2011年06月19日,34,22
北京,2011年06月20日,34,23
北京,2011年06月21日,34,25
北京,2011年06月22日,32,21
北京,2011年06月23日,28,19
北京,2011年06月24日,26,18
北京,2011年06月25日,29,19
北京,2011年06月26日,32,20
北京,2011年06月27日,32,22
北京,2011年06月28日,32,22
北京,2011年06月29日,32,23
北京,2011年06月30日,31,24
北京,2011年07月01日,29,25
北京,2011年07月02日,28,23
北京,2011年07月03日,33,22
北京,2011年07月04日,35,24
北京,2011年07月05日,35,25
北京,2011年07月06日,32,22
北京,2011年07月07日,33,20
北京,2011年07月08日,33,22
北京,2011年07月09日,35,22
北京,2011年07月10日,34,23
北京,2011年07月11日,33,22
北京,2011年07月12日,31,23
北京,2011年07月13日,32,24
北京,2011年07月14日,32,23
北京,2011年07月15日,32,22
北京,2011年07月16日,31,22
北京,2011年07月17日,30,20
北京,2011年07月18日,28,21
北京,2011年07月19日,29,21
北京,2011年07月20日,29,21
北京,2011年07月21日,29,22
北京,2011年07月22日,32,24
北京,2011年07月23日,34,26
北京,2011年07月24日,31,22
北京,2011年07月25日,30,22
北京,2011年07月26日,35,25
北京,2011年07月27日,33,25
北京,2011年07月28日,32,26
北京,2011年07月29日,30,23
北京,2011年07月30日,33,22
北京,2011年07月31日,35,24
北京,2011年08月01日,35,25
北京,2011年08月02日,32,24
北京,2011年08月03日,34,22
北京,2011年08月04日,33,23
北京,2011年08月05日,31,24
北京,2011年08月06日,31,23
北京,2011年08月07日,32,24
北京,2011年08月08日,34,24
北京,2011年08月09日,35,24
北京,2011年08月10日,32,24
北京,2011年08月11日,33,25
北京,2011年08月12日,33,25
北京,2011年08月13日,33,24
北京,2011年08月14日,30,21
北京,2011年08月15日,27,22
北京,2011年08月16日,32,23
北京,2011年08月17日,31,22
北京,2011年08月18日,29,20
北京,2011年08月19日,30,20
北京,2011年08月20日,31,21
北京,2011年08月21日,31,21
北京,2011年08月22日,30,20
北京,2011年08月23日,30,20
北京,2011年08月24日,29,20
北京,2011年08月25日,27,20
北京,2011年08月26日,28,20
北京,2011年08月27日,28,21
北京,2011年08月28日,30,20
北京,2011年08月29日,32,21
北京,2011年08月30日,31,23
北京,2011年08月31日,31,20
北京,2011年09月01日,28,19
北京,2011年09月02日,29,20
北京,2011年09月03日,26,18
北京,2011年09月04日,29,19
北京,2011年09月05日,30,20
北京,2011年09月06日,29,20
北京,2011年09月07日,26,18
北京,2011年09月08日,24,17
北京,2011年09月09日,24,15
北京,2011年09月10日,19,13
北京,2011年09月11日,25,16
北京,2011年09月12日,24,16
北京,2011年09月13日,24,18
北京,2011年09月14日,24,18
北京,2011年09月15日,25,17
北京,2011年09月16日,21,14
北京,2011年09月17日,20,11
北京,2011年09月18日,21,10
北京,2011年09月19日,22,10
北京,2011年09月20日,24,11
北京,2011年09月21日,27,11
北京,2011年09月22日,28,12
北京,2011年09月23日,28,13
北京,2011年09月24日,28,15
北京,2011年09月25日,27,15
北京,2011年09月26日,26,16
北京,2011年09月27日,25,17
北京,2011年09月28日,22,16
北京,2011年09月29日,22,11
北京,2011年09月30日,21,10
北京,2011年10月01日,21,10
北京,2011年10月02日,21,7
北京,2011年10月03日,21,8
北京,2011年10月04日,21,12
北京,2011年10月05日,25,10
北京,2011年10月06日,24,10
北京,2011年10月07日,25,11
北京,2011年10月08日,24,15
北京,2011年10月09日,23,15
北京,2011年10月10日,22,13
北京,2011年10月11日,21,14
北京,2011年10月12日,20,14
北京,2011年10月13日,20,11
北京,2011年10月14日,19,10
北京,2011年10月15日,20,10
北京,2011年10月16日,22,7
北京,2011年10月17日,20,8
北京,2011年10月18日,21,10
北京,2011年10月19日,19,12
北京,2011年10月20日,20,12
北京,2011年10月21日,17,11
北京,2011年10月22日,20,13
北京,2011年10月23日,16,5
北京,2011年10月24日,15,2
北京,2011年10月25日,16,4
北京,2011年10月26日,13,5
北京,2011年10月27日,16,5
北京,2011年10月28日,16,6
北京,2011年10月29日,18,6
北京,2011年10月30日,17,7
北京,2011年10月31日,15,10
北京,2011年11月01日,15,8
北京,2011年11月02日,16,9
北京,2011年11月03日,14,9
北京,2011年11月04日,14,9
北京,2011年11月05日,16,9
北京,2011年11月06日,15,7
北京,2011年11月07日,13,8
北京,2011年11月08日,13,3
北京,2011年11月09日,14,3
北京,2011年11月10日,16,3
北京,2011年11月11日,14,7
北京,2011年11月12日,15,2
北京,2011年11月13日,12,0
北京,2011年11月14日,13,1
北京,2011年11月15日,12,3
北京,2011年11月16日,10,6
北京,2011年11月17日,8,3
北京,2011年11月18日,12,3
北京,2011年11月19日,9,-3
北京,2011年11月20日,9,-3
北京,2011年11月21日,9,1
北京,2011年11月22日,10,-2
北京,2011年11月23日,7,-5
北京,2011年11月24日,8,-3
北京,2011年11月25日,6,0
北京,2011年11月26日,9,-1
北京,2011年11月27日,7,0
北京,2011年11月28日,5,0
北京,2011年11月29日,4,-3
北京,2011年11月30日,5,-5
北京,2011年12月01日,4,-2
北京,2011年12月02日,4,-4
北京,2011年12月03日,4,-5
北京,2011年12月04日,5,-3
北京,2011年12月05日,2,-2
北京,2011年12月06日,1,-1
北京,2011年12月07日,4,-6
北京,2011年12月08日,0,-8
北京,2011年12月09日,1,-5
北京,2011年12月10日,5,-5
北京,2011年12月11日,7,-4
北京,2011年12月12日,7,-3
北京,2011年12月13日,5,-4
北京,2011年12月14日,2,-6
北京,2011年12月15日,0,-8
北京,2011年12月16日,1,-8
北京,2011年12月17日,3,-9
北京,2011年12月18日,2,-7
北京,2011年12月19日,2,-5
北京,2011年12月20日,2,-4
北京,2011年12月21日,2,-6
北京,2011年12月22日,2,-7
北京,2011年12月23日,3,-5
北京,2011年12月24日,3,-6
北京,2011年12月25日,4,-7
北京,2011年12月26日,2,-5
北京,2011年12月27日,3,-5
北京,2011年12月28日,5,-7
北京,2011年12月29日,-2,-5
北京,2011年12月30日,1,-5
北京,2011年12月31日,4,-7
北京,2012年01月01日,1,-4
北京,2012年01月02日,2,-6
北京,2012年01月03日,1,-8
北京,2012年01月04日,1,-10
北京,2012年01月05日,2,-8
北京,2012年01月06日,0,-6
北京,2012年01月07日,-1,-6
北京,2012年01月08日,2,-8
北京,2012年01月09日,2,-7
北京,2012年01月10日,3,-8
北京,2012年01月11日,2,-10
北京,2012年01月12日,3,-8
北京,2012年01月13日,4,-7
北京,2012年01月14日,4,-7
北京,2012年01月15日,3,-6
北京,2012年01月16日,2,-5
北京,2012年01月17日,2,-4
北京,2012年01月18日,2,-3
北京,2012年01月19日,0,-4
北京,2012年01月20日,-1,-9
北京,2012年01月21日,-3,-12
北京,2012年01月22日,-4,-13
北京,2012年01月23日,-1,-11
北京,2012年01月24日,0,-11
北京,2012年01月25日,1,-11
北京,2012年01月26日,2,-9
北京,2012年01月27日,2,-8
北京,2012年01月28日,-1,-9
北京,2012年01月29日,-1,-9
北京,2012年01月30日,-2,-8
北京,2012年01月31日,0,-11
北京,2012年02月01日,-3,-12
北京,2012年02月02日,-1,-11
北京,2012年02月03日,2,-9
北京,2012年02月04日,3,-6
北京,2012年02月05日,3,-6
北京,2012年02月06日,-3,-11
北京,2012年02月07日,-1,-10
北京,2012年02月08日,2,-8
北京,2012年02月09日,4,-8
北京,2012年02月10日,3,-8
北京,2012年02月11日,5,-6
北京,2012年02月12日,5,-4
北京,2012年02月13日,5,-3
北京,2012年02月14日,4,-6
北京,2012年02月15日,4,-5
北京,2012年02月16日,2,-7
北京,2012年02月17日,2,-7
北京,2012年02月18日,4,-7
北京,2012年02月19日,6,-5
北京,2012年02月20日,8,-4
北京,2012年02月21日,5,-2
北京,2012年02月22日,7,-2
北京,2012年02月23日,5,-2
北京,2012年02月24日,5,-4
北京,2012年02月25日,4,-5
北京,2012年02月26日,6,-5
北京,2012年02月27日,7,-3
北京,2012年02月28日,6,-1
北京,2012年02月29日,8,0
北京,2012年03月01日,3,-2
北京,2012年03月02日,5,-1
北京,2012年03月03日,4,-2
北京,2012年03月04日,5,-1
北京,2012年03月05日,5,0
北京,2012年03月06日,10,-2
北京,2012年03月07日,10,-2
北京,2012年03月08日,6,-5
北京,2012年03月09日,6,-3
北京,2012年03月10日,6,-4
北京,2012年03月11日,6,-6
北京,2012年03月12日,9,-3
北京,2012年03月13日,13,-1
北京,2012年03月14日,13,0
北京,2012年03月15日,10,4
北京,2012年03月16日,14,4
北京,2012年03月17日,12,0
北京,2012年03月18日,6,-2
北京,2012年03月19日,7,-1
北京,2012年03月20日,12,2
北京,2012年03月21日,12,5
北京,2012年03月22日,7,3
北京,2012年03月23日,12,2
北京,2012年03月24日,14,1
北京,2012年03月25日,15,2
北京,2012年03月26日,15,1
北京,2012年03月27日,20,6
北京,2012年03月28日,20,10
北京,2012年03月29日,19,6
北京,2012年03月30日,13,3
北京,2012年03月31日,17,1
北京,2012年04月01日,12,5
北京,2012年04月02日,11,5
北京,2012年04月03日,18,4
北京,2012年04月04日,19,7
北京,2012年04月05日,17,4
北京,2012年04月06日,20,7
北京,2012年04月07日,24,10
北京,2012年04月08日,22,8
北京,2012年04月09日,25,14
北京,2012年04月10日,20,10
北京,2012年04月11日,20,9
北京,2012年04月12日,23,10
北京,2012年04月13日,26,11
北京,2012年04月14日,28,14
北京,2012年04月15日,27,9
北京,2012年04月16日,23,10
北京,2012年04月17日,28,14
北京,2012年04月18日,24,14
北京,2012年04月19日,22,12
北京,2012年04月20日,23,11
北京,2012年04月21日,18,11
北京,2012年04月22日,19,9
北京,2012年04月23日,25,14
北京,2012年04月24日,19,11
北京,2012年04月25日,21,6
北京,2012年04月26日,24,13
北京,2012年04月27日,23,12
北京,2012年04月28日,22,10
北京,2012年04月29日,21,12
北京,2012年04月30日,24,16
北京,2012年05月01日,22,14
北京,2012年05月02日,30,16
北京,2012年05月03日,31,18
北京,2012年05月04日,32,17
北京,2012年05月05日,31,15
北京,2012年05月06日,31,18
北京,2012年05月07日,25,14
北京,2012年05月08日,30,16
北京,2012年05月09日,29,17
北京,2012年05月10日,30,18
北京,2012年05月11日,23,16
北京,2012年05月12日,25,12
北京,2012年05月13日,26,15
北京,2012年05月14日,25,13
北京,2012年05月15日,27,14
北京,2012年05月16日,27,15
北京,2012年05月17日,30,16
北京,2012年05月18日,32,18
北京,2012年05月19日,30,18
北京,2012年05月20日,27,17
北京,2012年05月21日,28,20
北京,2012年05月22日,27,17
北京,2012年05月23日,28,18
北京,2012年05月24日,29,16
北京,2012年05月25日,28,15
北京,2012年05月26日,33,19
北京,2012年05月27日,34,20
北京,2012年05月28日,33,22
北京,2012年05月29日,27,15
北京,2012年05月30日,27,14
北京,2012年05月31日,27,17
北京,2012年06月01日,24,16
北京,2012年06月02日,28,17
北京,2012年06月03日,25,16
北京,2012年06月04日,32,19
北京,2012年06月05日,32,20
北京,2012年06月06日,31,20
北京,2012年06月07日,32,21
北京,2012年06月08日,33,22
北京,2012年06月09日,32,18
北京,2012年06月10日,29,15
北京,2012年06月11日,32,18
北京,2012年06月12日,29,18
北京,2012年06月13日,26,17
北京,2012年06月14日,27,17
北京,2012年06月15日,29,17
北京,2012年06月16日,34,22
北京,2012年06月17日,38,24
北京,2012年06月18日,37,23
北京,2012年06月19日,33,23
北京,2012年06月20日,32,22
北京,2012年06月21日,32,22
北京,2012年06月22日,31,22
北京,2012年06月23日,30,22
北京,2012年06月24日,26,20
北京,2012年06月25日,28,22
北京,2012年06月26日,26,22
北京,2012年06月27日,27,21
北京,2012年06月28日,25,20
北京,2012年06月29日,26,19
北京,2012年06月30日,33,22
北京,2012年07月01日,35,23
北京,2012年07月02日,35,23
北京,2012年07月03日,35,24
北京,2012年07月04日,30,22
北京,2012年07月05日,31,22
北京,2012年07月06日,32,22
北京,2012年07月07日,28,23
北京,2012年07月08日,30,24
北京,2012年07月09日,30,22
北京,2012年07月10日,31,23
北京,2012年07月11日,34,23
北京,2012年07月12日,32,22
北京,2012年07月13日,30,22
北京,2012年07月14日,31,21
北京,2012年07月15日,33,22
北京,2012年07月16日,34,23
北京,2012年07月17日,34,23
北京,2012年07月18日,32,23
北京,2012年07月19日,32,25
北京,2012年07月20日,33,26
北京,2012年07月21日,30,23
北京,2012年07月22日,33,22
北京,2012年07月23日,33,24
北京,2012年07月24日,30,24
北京,2012年07月25日,29,23
北京,2012年07月26日,28,24
北京,2012年07月27日,28,24
北京,2012年07月28日,27,23
北京,2012年07月29日,34,23
北京,2012年07月30日,31,22
北京,2012年07月31日,25,19
北京,2012年08月01日,24,21
北京,2012年08月02日,29,23
北京,2012年08月03日,28,23
北京,2012年08月04日,32,23
北京,2012年08月05日,31,24
北京,2012年08月06日,32,24
北京,2012年08月07日,32,25
北京,2012年08月08日,29,24
北京,2012年08月09日,34,22
北京,2012年08月10日,33,24
北京,2012年08月11日,29,23
北京,2012年08月12日,28,21
北京,2012年08月13日,30,22
北京,2012年08月14日,27,19
北京,2012年08月15日,31,20
北京,2012年08月16日,31,22
北京,2012年08月17日,29,22
北京,2012年08月18日,28,22
北京,2012年08月19日,31,22
北京,2012年08月20日,30,21
北京,2012年08月21日,29,17
北京,2012年08月22日,28,16
北京,2012年08月23日,30,18
北京,2012年08月24日,29,18
北京,2012年08月25日,30,19
北京,2012年08月26日,29,22
北京,2012年08月27日,27,21
北京,2012年08月28日,33,22
北京,2012年08月29日,34,22
北京,2012年08月30日,34,24
北京,2012年08月31日,31,24
北京,2012年09月01日,29,20
北京,2012年09月02日,26,17
北京,2012年09月03日,26,15
北京,2012年09月04日,26,14
北京,2012年09月05日,27,15
北京,2012年09月06日,24,17
北京,2012年09月07日,25,18
北京,2012年09月08日,27,17
北京,2012年09月09日,29,19
北京,2012年09月10日,27,20
北京,2012年09月11日,25,17
北京,2012年09月12日,24,14
北京,2012年09月13日,24,11
北京,2012年09月14日,25,12
北京,2012年09月15日,26,13
北京,2012年09月16日,27,15
北京,2012年09月17日,28,15
北京,2012年09月18日,29,14
北京,2012年09月19日,28,15
北京,2012年09月20日,29,18
北京,2012年09月21日,25,16
北京,2012年09月22日,26,16
北京,2012年09月23日,28,16
北京,2012年09月24日,26,17
北京,2012年09月25日,22,14
北京,2012年09月26日,26,15
北京,2012年09月27日,23,13
北京,2012年09月28日,22,11
北京,2012年09月29日,25,10
北京,2012年09月30日,25,11
北京,2012年10月01日,27,12
北京,2012年10月02日,25,15
北京,2012年10月03日,26,13
北京,2012年10月04日,24,14
北京,2012年10月05日,24,10
北京,2012年10月06日,25,11
北京,2012年10月07日,25,12
北京,2012年10月08日,25,13
北京,2012年10月09日,23,10
北京,2012年10月10日,22,8
北京,2012年10月11日,22,10
北京,2012年10月12日,24,12
北京,2012年10月13日,20,7
北京,2012年10月14日,18,8
北京,2012年10月15日,17,10
北京,2012年10月16日,17,5
北京,2012年10月17日,18,4
北京,2012年10月18日,20,7
北京,2012年10月19日,20,9
北京,2012年10月20日,21,9
北京,2012年10月21日,14,8
北京,2012年10月22日,18,3
北京,2012年10月23日,21,6
北京,2012年10月24日,22,7
北京,2012年10月25日,21,9
北京,2012年10月26日,18,11
北京,2012年10月27日,23,6
北京,2012年10月28日,17,7
北京,2012年10月29日,15,2
北京,2012年10月30日,13,2
北京,2012年10月31日,14,1
北京,2012年11月01日,15,3
北京,2012年11月02日,15,6
北京,2012年11月03日,10,1
北京,2012年11月04日,4,0
北京,2012年11月05日,10,-2
北京,2012年11月06日,12,-1
北京,2012年11月07日,12,-1
北京,2012年11月08日,12,1
北京,2012年11月09日,10,3
北京,2012年11月10日,4,0
北京,2012年11月11日,6,-2
北京,2012年11月12日,8,-2
北京,2012年11月13日,7,-3
北京,2012年11月14日,10,-4
北京,2012年11月15日,7,1
北京,2012年11月16日,11,-2
北京,2012年11月17日,10,-1
北京,2012年11月18日,11,2
北京,2012年11月19日,10,-2
北京,2012年11月20日,10,-1
北京,2012年11月21日,9,2
北京,2012年11月22日,8,-3
北京,2012年11月23日,6,-5
北京,2012年11月24日,7,-3
北京,2012年11月25日,8,-2
北京,2012年11月26日,6,-4
北京,2012年11月27日,6,-2
北京,2012年11月28日,5,-6
北京,2012年11月29日,4,-4
北京,2012年11月30日,3,-7
北京,2012年12月01日,1,-6
北京,2012年12月02日,2,-4
北京,2012年12月03日,3,-7
北京,2012年12月04日,1,-5
北京,2012年12月05日,-1,-9
北京,2012年12月06日,-1,-8
北京,2012年12月07日,-1,-9
北京,2012年12月08日,-3,-10
北京,2012年12月09日,2,-8
北京,2012年12月10日,0,-8
北京,2012年12月11日,0,-6
北京,2012年12月12日,2,-4
北京,2012年12月13日,1,-3
北京,2012年12月14日,1,-3
北京,2012年12月15日,2,-3
北京,2012年12月16日,2,-4
北京,2012年12月17日,-1,-10
北京,2012年12月18日,0,-7
北京,2012年12月19日,-1,-6
北京,2012年12月20日,-2,-5
北京,2012年12月21日,1,-9
北京,2012年12月22日,6,-5
北京,2012年12月23日,-5,-15
北京,2012年12月24日,-2,-11
北京,2012年12月25日,-2,-11
北京,2012年12月26日,-2,-10
北京,2012年12月27日,-3,-9
北京,2012年12月28日,-4,-8
北京,2012年12月29日,-4,-9
北京,2012年12月30日,-2,-11
北京,2012年12月31日,-3,-9
北京,2013年01月01日,-3,-12
北京,2013年01月02日,-6,-14
北京,2013年01月03日,-4,-13
北京,2013年01月04日,-1,-11
北京,2013年01月05日,-2,-12
北京,2013年01月06日,-1,-11
北京,2013年01月07日,0,-9
北京,2013年01月08日,-1,-11
北京,2013年01月09日,0,-11
北京,2013年01月10日,0,-9
北京,2013年01月11日,4,-7
北京,2013年01月12日,2,-7
北京,2013年01月13日,2,-7
北京,2013年01月14日,0,-5
北京,2013年01月15日,1,-7
北京,2013年01月16日,1,-9
北京,2013年01月17日,2,-8
北京,2013年01月18日,3,-7
北京,2013年01月19日,2,-4
北京,2013年01月20日,-2,-6
北京,2013年01月21日,3,-7
北京,2013年01月22日,2,-7
北京,2013年01月23日,1,-6
北京,2013年01月24日,3,-9
北京,2013年01月25日,-1,-8
北京,2013年01月26日,1,-8
北京,2013年01月27日,2,-6
北京,2013年01月28日,4,-5
北京,2013年01月29日,3,-4
北京,2013年01月30日,0,-3
北京,2013年01月31日,0,-3
北京,2013年02月01日,4,-8
北京,2013年02月02日,2,-6
北京,2013年02月03日,0,-5
北京,2013年02月04日,2,-7
北京,2013年02月05日,2,-6
北京,2013年02月06日,2,-11
北京,2013年02月07日,-3,-12
北京,2013年02月08日,-2,-9
北京,2013年02月09日,0,-6
北京,2013年02月10日,-1,-6
北京,2013年02月11日,-1,-6
北京,2013年02月12日,2,-7
北京,2013年02月13日,6,-4
北京,2013年02月14日,4,-6
北京,2013年02月15日,4,-6
北京,2013年02月16日,4,-4
北京,2013年02月17日,7,-4
北京,2013年02月18日,3,-8
北京,2013年02月19日,2,-7
北京,2013年02月20日,5,-7
北京,2013年02月21日,6,-3
北京,2013年02月22日,7,-4
北京,2013年02月23日,9,-2
北京,2013年02月24日,6,-3
北京,2013年02月25日,1,-5
北京,2013年02月26日,9,-3
北京,2013年02月27日,11,2
北京,2013年02月28日,14,-3
北京,2013年03月01日,7,-5
北京,2013年03月02日,7,-4
北京,2013年03月03日,13,1
北京,2013年03月04日,15,2
北京,2013年03月05日,16,4
北京,2013年03月06日,15,2
北京,2013年03月07日,16,4
北京,2013年03月08日,19,5
北京,2013年03月09日,16,-2
北京,2013年03月10日,10,-2
北京,2013年03月11日,13,4
北京,2013年03月12日,9,-1
北京,2013年03月13日,9,-2
北京,2013年03月14日,11,0
北京,2013年03月15日,13,3
北京,2013年03月16日,14,5
北京,2013年03月17日,19,6
北京,2013年03月18日,11,2
北京,2013年03月19日,4,-3
北京,2013年03月20日,8,0
北京,2013年03月21日,14,2
北京,2013年03月22日,11,1
北京,2013年03月23日,13,-1
北京,2013年03月24日,11,-2
北京,2013年03月25日,11,1
北京,2013年03月26日,15,4
北京,2013年03月27日,17,3
北京,2013年03月28日,11,-1
北京,2013年03月29日,11,1
北京,2013年03月30日,10,2
北京,2013年03月31日,13,5
北京,2013年04月01日,16,0
北京,2013年04月02日,19,5
北京,2013年04月03日,16,5
北京,2013年04月04日,13,6
北京,2013年04月05日,13,2
北京,2013年04月06日,14,2
北京,2013年04月07日,15,6
北京,2013年04月08日,13,4
北京,2013年04月09日,13,4
北京,2013年04月10日,14,2
北京,2013年04月11日,17,2
北京,2013年04月12日,22,8
北京,2013年04月13日,23,6
北京,2013年04月14日,16,5
北京,2013年04月15日,20,7
北京,2013年04月16日,20,5
北京,2013年04月17日,18,8
北京,2013年04月18日,15,5
北京,2013年04月19日,8,2
北京,2013年04月20日,16,5
北京,2013年04月21日,18,7
北京,2013年04月22日,19,9
北京,2013年04月23日,17,8
北京,2013年04月24日,23,10
北京,2013年04月25日,23,8
北京,2013年04月26日,23,9
北京,2013年04月27日,22,11
北京,2013年04月28日,19,11
北京,2013年04月29日,27,13
北京,2013年04月30日,27,10
北京,2013年05月01日,25,12
北京,2013年05月02日,23,11
北京,2013年05月03日,23,12
北京,2013年05月04日,27,13
北京,2013年05月05日,30,16
北京,2013年05月06日,30,17
北京,2013年05月07日,30,17
北京,2013年05月08日,26,16
北京,2013年05月09日,22,14
北京,2013年05月10日,30,14
北京,2013年05月11日,33,16
北京,2013年05月12日,30,16
北京,2013年05月13日,28,18
北京,2013年05月14日,30,14
北京,2013年05月15日,29,15
北京,2013年05月16日,25,16
北京,2013年05月17日,26,16
北京,2013年05月18日,29,17
北京,2013年05月19日,27,14
北京,2013年05月20日,31,18
北京,2013年05月21日,31,18
北京,2013年05月22日,28,17
北京,2013年05月23日,29,19
北京,2013年05月24日,28,17
北京,2013年05月25日,28,17
北京,2013年05月26日,23,17
北京,2013年05月27日,26,17
北京,2013年05月28日,24,17
北京,2013年05月29日,30,15
北京,2013年05月30日,33,19
北京,2013年05月31日,32,19
北京,2013年06月01日,30,18
北京,2013年06月02日,29,18
北京,2013年06月03日,32,19
北京,2013年06月04日,29,18
北京,2013年06月05日,28,19
北京,2013年06月06日,23,19
北京,2013年06月07日,24,19
北京,2013年06月08日,23,18
北京,2013年06月09日,21,16
北京,2013年06月10日,25,15
北京,2013年06月11日,26,16
北京,2013年06月12日,29,17
北京,2013年06月13日,30,21
北京,2013年06月14日,30,21
北京,2013年06月15日,33,22
北京,2013年06月16日,29,20
北京,2013年06月17日,29,21
北京,2013年06月18日,33,22
北京,2013年06月19日,34,23
北京,2013年06月20日,32,23
北京,2013年06月21日,30,22
北京,2013年06月22日,25,20
北京,2013年06月23日,30,22
北京,2013年06月24日,31,22
北京,2013年06月25日,29,21
