地区,时间,温度,风向,风级,降水量,相对湿度,空气质量
牡丹江,11,19,东北风,4,0.4,92,12
牡丹江,12,19,东北风,4,0.3,95,12
牡丹江,13,19,北风,3,3.1,96,12
牡丹江,14,20,东北风,5,15.2,97,10
牡丹江,15,22,东风,4,6.8,97,10
牡丹江,16,24,东风,5,0.4,81,11
牡丹江,17,23,东风,4,0,80,15
牡丹江,18,23,东南风,4,0,73,16
牡丹江,19,22,东南风,5,0,71,18
牡丹江,20,22,东南风,4,0,77,22
牡丹江,21,21,南风,5,0,70,21
牡丹江,22,20,南风,6,0,66,21
牡丹江,23,20,西南风,6,0,65,25
牡丹江,00,19,西南风,6,0,64,25
牡丹江,01,19,西南风,6,0,63,24
牡丹江,02,18,西南风,7,0,64,26
牡丹江,03,18,西南风,5,0,67,25
牡丹江,04,18,西南风,5,0,66,22
牡丹江,05,,,,,,
佳木斯,06,19,东北风,1,0.1,99,32
佳木斯,07,19,东北风,2,1.5,99,28
佳木斯,08,19,东北风,2,3,99,23
佳木斯,09,20,东北风,2,1.4,99,18
佳木斯,10,20,东北风,3,1.1,99,12
佳木斯,11,19,东北风,3,7.9,99,14
佳木斯,12,19,东北风,3,8.3,100,17
佳木斯,13,19,东北风,3,7.7,99,14
佳木斯,14,20,东北风,3,0.5,99,10
佳木斯,15,20,东北风,3,0.9,100,11
佳木斯,16,20,东风,3,0,99,9
佳木斯,17,21,东风,4,0.2,99,10
佳木斯,18,21,东风,4,0,97,11
佳木斯,19,22,东风,5,0,96,13
佳木斯,20,22,东风,4,0.7,99,15
佳木斯,21,24,东南风,3,0,75,16
佳木斯,22,24,东南风,5,0,66,23
佳木斯,23,23,东南风,5,0,70,25
佳木斯,00,23,东南风,5,0,70,29
佳木斯,01,22,南风,5,0,73,29
佳木斯,02,22,南风,4,0,63,26
佳木斯,03,21,南风,5,0,63,24
佳木斯,04,20,南风,4,0,68,20
佳木斯,05,,,,,,
绥化,06,17,东北风,2,0,94,26
绥化,07,17,北风,2,0,93,28
绥化,08,18,东北风,2,0,91,30
绥化,09,18,东北风,2,0.1,94,30
绥化,10,18,东北风,2,0.3,96,28
绥化,11,19,东北风,2,0.8,98,30
绥化,12,19,北风,3,1.5,98,23
绥化,13,18,北风,3,2.3,95,16
绥化,14,18,北风,4,5.5,96,16
绥化,15,17,北风,4,9.9,98,18
绥化,16,17,东北风,4,4.8,98,21
绥化,17,17,东北风,4,9,98,22
绥化,18,17,东北风,4,10.5,97,21
绥化,19,17,东北风,4,4.7,97,22
绥化,20,17,东北风,3,0.6,98,20
绥化,21,18,东北风,3,3.2,99,17
绥化,22,19,东风,3,6.3,99,14
绥化,23,20,东南风,3,1.1,98,16
绥化,00,17,东南风,4,1.2,96,14
绥化,01,17,东南风,4,1.1,94,16
绥化,02,16,东南风,3,0,97,18
绥化,03,16,南风,4,0.2,96,13
绥化,04,15,南风,3,0.5,98,12
绥化,05,,,,,,
黑河,06,14,西北风,2,0.1,89,10
黑河,07,15,北风,2,0,82,10
黑河,08,16,北风,2,0,79,12
黑河,09,17,西北风,2,0,75,12
黑河,10,18,北风,3,0,74,12
黑河,11,19,西北风,3,0,72,15
黑河,12,20,东北风,3,0,67,17
黑河,13,20,东北风,3,0,70,12
黑河,14,18,北风,3,0,77,12
黑河,15,18,北风,3,0,78,13
黑河,16,18,北风,3,0,82,14
黑河,17,18,北风,2,0.6,85,13
黑河,18,18,北风,3,1.3,85,10
黑河,19,18,东北风,3,2.9,86,12
黑河,20,17,东北风,3,4.5,86,17
黑河,21,17,东北风,3,5.9,89,18
黑河,22,17,东北风,4,9.1,85,16
黑河,23,17,东北风,4,9.5,86,20
黑河,00,17,东北风,4,10.2,87,22
黑河,01,17,东北风,4,8.1,87,20
黑河,02,17,东北风,3,6.6,88,20
黑河,03,17,东风,3,7.6,88,18
黑河,04,18,东风,3,1.7,88,15
黑河,05,,,,,,
大兴安岭,06,8,西北风,2,0,97,8
大兴安岭,07,10,西北风,2,0,95,13
大兴安岭,08,12,西风,1,0,87,18
大兴安岭,09,15,西北风,1,0,79,22
大兴安岭,10,17,西北风,2,0,74,26
大兴安岭,11,19,北风,2,0,60,24
大兴安岭,12,18,东北风,2,0,62,21
大兴安岭,13,19,东北风,3,0,62,20
大兴安岭,14,19,东北风,4,0,60,17
大兴安岭,15,18,东北风,3,0,63,12
大兴安岭,16,18,东北风,3,0,67,16
大兴安岭,17,17,北风,3,0,71,14
大兴安岭,18,17,北风,3,0,73,16
大兴安岭,19,16,北风,3,0,74,12
大兴安岭,20,16,北风,3,0,75,12
大兴安岭,21,16,北风,4,0,76,12
大兴安岭,22,16,北风,4,0,79,14
大兴安岭,23,15,北风,3,1,87,11
大兴安岭,00,14,北风,3,1.3,89,11
大兴安岭,01,15,北风,3,0.7,88,11
大兴安岭,02,14,北风,4,1.9,90,12
大兴安岭,03,14,北风,3,3.3,91,13
大兴安岭,04,14,北风,4,2,90,15
大兴安岭,05,,,,,,
伊春,06,15,东南风,2,0,98,18
伊春,07,16,东南风,1,0,97,20
伊春,08,16,南风,1,0,97,16
伊春,09,17,东南风,1,0,93,18
伊春,10,18,北风,1,0,92,18
伊春,11,18,北风,1,1,96,14
伊春,12,18,东北风,2,3.8,97,12
伊春,13,18,东北风,3,3.1,95,14
伊春,14,17,东北风,3,3.8,97,16
伊春,15,17,东北风,3,5.9,96,19
伊春,16,16,东北风,3,3.8,96,21
伊春,17,16,东北风,3,9.6,97,21
伊春,18,16,东北风,3,10.8,96,17
伊春,19,17,东北风,3,10.3,97,15
伊春,20,18,东北风,4,8.9,97,15
伊春,21,20,东南风,5,7,94,12
伊春,22,20,东南风,5,1.4,91,15
伊春,23,20,东南风,5,0.7,91,15
伊春,00,20,东南风,4,0.1,83,17
伊春,01,19,东南风,5,0,87,22
伊春,02,19,东南风,3,0,78,22
伊春,03,18,东南风,2,0,79,28
伊春,04,18,东南风,4,0,72,18
伊春,05,,,,,,
大庆,06,16,北风,2,0,96,14
大庆,07,16,北风,2,0,95,21
大庆,08,17,北风,3,0,90,20
大庆,09,18,北风,3,0,85,20
大庆,10,19,北风,3,0,84,20
大庆,11,18,北风,4,0,87,21
大庆,12,18,北风,3,0.6,95,24
大庆,13,18,北风,4,0.8,96,18
大庆,14,17,北风,3,3.6,98,14
大庆,15,18,东北风,4,2.5,97,11
大庆,16,17,北风,5,2.2,96,18
大庆,17,17,北风,5,4.4,95,22
大庆,18,16,北风,5,10.9,96,24
大庆,19,16,北风,5,18.9,97,25
大庆,20,16,北风,5,14.3,97,23
大庆,21,16,北风,5,7.9,98,23
大庆,22,16,北风,5,9,98,24
大庆,23,16,北风,5,8.7,97,24
大庆,00,16,北风,4,3.3,98,25
大庆,01,16,西北风,3,2.6,99,23
大庆,02,16,西北风,3,3.3,99,21
大庆,03,16,西南风,3,2.2,99,19
大庆,04,15,西南风,5,1.3,98,17
大庆,05,,,,,,
七台河,06,19,东北风,2,2.1,99,
七台河,07,19,东风,2,2.8,99,
七台河,08,19,东风,3,6,99,
七台河,09,19,东北风,4,2.1,99,
七台河,10,19,东风,4,4.3,99,
七台河,11,20,东风,4,0.9,99,
七台河,12,20,东风,4,0.1,99,
七台河,13,21,东风,5,0.2,96,
七台河,14,22,东风,5,0,94,
七台河,15,22,东风,5,0,93,
七台河,16,24,东风,6,0,84,
七台河,17,24,东南风,6,0.1,88,
七台河,18,23,东风,6,1.6,89,
七台河,19,22,东南风,6,3.8,96,
七台河,20,22,东南风,7,0,76,
七台河,21,22,东南风,6,0,71,
七台河,22,22,东南风,6,0,75,
七台河,23,21,东南风,6,0,79,
七台河,00,21,南风,5,0,76,
七台河,01,21,南风,4,0,77,
七台河,02,21,南风,4,0,64,
七台河,03,19,南风,4,0,67,
七台河,04,19,南风,5,0,66,
七台河,05,,,,,,
鸡西,06,19,东风,3,3,98,9
鸡西,07,19,东北风,3,10.6,98,8
鸡西,08,19,东北风,4,3.8,98,7
鸡西,09,18,东风,3,1.2,98,10
鸡西,10,19,东北风,3,1.6,98,12
鸡西,11,19,东风,3,0.6,98,12
鸡西,12,20,东风,4,0.1,96,11
鸡西,13,21,东风,5,0,92,10
鸡西,14,22,东风,5,0.0,92,11
鸡西,15,22,东风,6,1.4,95,10
鸡西,16,22,东风,6,2.1,92,14
鸡西,17,22,东风,5,3.9,94,20
鸡西,18,23,东南风,6,0,81,
鸡西,19,22,东南风,5,0,78,19
鸡西,20,22,东风,6,0,71,20
鸡西,21,21,东南风,5,0,76,26
鸡西,22,20,东南风,4,0,81,30
鸡西,23,21,东南风,5,0,76,26
鸡西,00,21,南风,5,0,70,20
鸡西,01,20,南风,5,0,64,17
鸡西,02,19,南风,4,0,67,16
鸡西,03,19,南风,4,0,66,16
鸡西,04,18,南风,4,0,67,18
鸡西,05,,,,,,
鹤岗,06,18,东北风,2,0,99,15
鹤岗,07,18,东北风,2,0.4,99,15
鹤岗,08,19,东北风,2,2.1,98,16
鹤岗,09,19,东北风,2,3.5,97,13
鹤岗,10,19,东北风,3,1.8,97,10
鹤岗,11,19,东北风,3,2.2,95,15
鹤岗,12,18,东北风,4,5.8,93,20
鹤岗,13,18,东北风,4,7.6,95,21
鹤岗,14,18,东北风,4,8.9,96,20
鹤岗,15,18,东北风,4,5.7,96,20
鹤岗,16,18,东北风,5,0.8,97,20
鹤岗,17,19,东北风,5,0,95,18
鹤岗,18,19,东风,4,0,94,16
鹤岗,19,19,东风,5,0.1,94,16
鹤岗,20,21,东风,5,0,91,12
鹤岗,21,21,东风,5,0,92,10
鹤岗,22,22,东风,4,0,89,10
鹤岗,23,22,东南风,4,0,81,15
鹤岗,00,21,东南风,4,0,75,25
鹤岗,01,21,东南风,4,0,76,27
鹤岗,02,20,东南风,4,0,81,25
鹤岗,03,20,南风,3,0,72,21
鹤岗,04,19,南风,3,0,72,18
鹤岗,05,,,,,,
双鸭山,06,19,东南风,1,2.3,99,19
双鸭山,07,19,北风,1,2,99,16
双鸭山,08,20,东北风,1,1.9,99,11
双鸭山,09,19,东北风,2,3.8,99,12
双鸭山,10,19,东北风,2,4.2,99,15
双鸭山,11,19,东北风,2,5.8,99,18
双鸭山,12,19,东北风,2,2.9,99,11
双鸭山,13,20,东北风,2,0.4,99,11
双鸭山,14,20,东风,2,0,99,10
双鸭山,15,20,东风,3,0,99,36
双鸭山,16,20,东北风,3,0,99,11
双鸭山,17,21,东风,3,0,99,10
双鸭山,18,21,东风,2,0,99,10
双鸭山,19,22,东风,2,0,99,14
双鸭山,20,23,东风,2,0.1,96,15
双鸭山,21,23,东南风,3,2.4,94,13
双鸭山,22,24,北风,3,2.4,66,32
双鸭山,23,23,东南风,4,0.0,73,44
双鸭山,00,22,南风,4,0.0,74,79
双鸭山,01,22,东南风,3,0.0,74,62
双鸭山,02,21,南风,3,0.0,69,51
双鸭山,03,21,南风,3,0,70,20
双鸭山,04,20,南风,2,0,66,16
双鸭山,05,,,,,,
长春,06,19,北风,2,0,91,32
长春,07,18,东北风,2,1,98,37
长春,08,18,北风,2,1.6,99,23
长春,09,18,北风,3,3,99,23
长春,10,18,北风,3,2.5,99,22
长春,11,18,北风,3,1.9,95,16
长春,12,17,北风,4,4.7,97,19
长春,13,17,北风,4,7,99,22
长春,14,16,西北风,4,11.6,99,23
长春,15,16,西北风,5,11.1,99,21
长春,16,16,西北风,4,10.3,99,20
长春,17,16,西北风,4,8.5,99,19
长春,18,16,西风,4,9.1,99,17
长春,19,16,西风,4,5.6,99,15
长春,20,16,西风,4,5.1,99,17
长春,21,15,西风,4,6.6,99,14
长春,22,15,西风,5,3.6,99,12
长春,23,15,西风,4,2.6,99,12
长春,00,15,西南风,4,1,99,12
长春,01,15,西南风,4,0.7,99,11
长春,02,14,西南风,4,0.7,99,12
长春,03,14,西南风,4,2.1,99,15
长春,04,14,西南风,4,0.3,96,16
长春,05,,,,,,
吉林,06,19,东北风,3,6.1,99,15
吉林,07,18,北风,3,7.7,99,21
吉林,08,18,北风,3,2.8,99,21
吉林,09,19,北风,3,4.1,99,24
吉林,10,18,北风,4,10.4,99,15
吉林,11,18,北风,4,9.3,99,24
吉林,12,17,北风,5,9.9,99,23
吉林,13,17,北风,5,10.6,99,22
吉林,14,17,西北风,4,7.4,99,22
吉林,15,17,西北风,5,7.5,99,19
吉林,16,17,西北风,4,10.1,99,16
吉林,17,16,西风,5,7.3,99,18
吉林,18,16,西风,4,2.8,99,20
吉林,19,15,西风,4,2.4,99,22
吉林,20,16,西南风,5,3.3,99,23
吉林,21,16,西南风,6,2.2,99,19
吉林,22,15,西南风,7,1,98,15
吉林,23,15,西南风,6,1.5,99,15
吉林,00,15,西南风,5,1.2,96,17
吉林,01,15,西南风,5,0.1,95,14
吉林,02,15,南风,3,1.4,99,14
吉林,03,14,西南风,4,1.1,99,14
吉林,04,14,西南风,4,2.1,99,15
吉林,05,,,,,,
延边,06,18,东北风,2,7,99,15
延边,07,18,西北风,1,7.2,99,14
延边,08,18,西北风,1,6,99,13
延边,09,18,东北风,3,2.9,99,13
延边,10,20,东北风,5,2.1,99,19
延边,11,21,东风,5,6.7,99,15
延边,12,22,东北风,6,17.3,99,15
延边,13,22,东风,5,10.2,97,16
延边,14,22,东风,4,2.2,95,18
延边,15,21,东风,3,0.7,95,20
延边,16,22,东南风,3,0.7,92,28
延边,17,23,南风,3,0,85,18
延边,18,23,西南风,3,0,73,15
延边,19,22,西南风,4,0,70,18
延边,20,21,西南风,4,0,63,22
延边,21,21,西风,5,0,60,22
延边,22,21,西南风,4,0,60,20
延边,23,21,西风,3,0,62,21
延边,00,20,西南风,4,0,60,23
延边,01,19,西南风,3,0,64,25
延边,02,18,南风,2,0,73,23
延边,03,17,东北风,1,0,80,15
延边,04,16,东南风,2,0,81,11
延边,05,,,,,,
四平,06,18,北风,2,1.6,99,13
四平,07,18,北风,2,0.7,99,16
四平,08,17,北风,2,6.3,99,17
四平,09,18,北风,3,2.6,99,16
四平,10,18,北风,3,3.4,99,13
四平,11,18,北风,3,4.1,99,12
四平,12,17,北风,3,3.7,99,15
四平,13,17,北风,3,6,99,15
四平,14,17,西北风,4,4.8,99,15
四平,15,17,西北风,4,5.2,99,14
四平,16,16,西北风,5,4.9,99,11
四平,17,16,西北风,4,2.8,99,13
四平,18,16,西北风,5,1.6,99,12
四平,19,15,西北风,4,2,99,13
四平,20,15,西风,4,3.1,99,15
四平,21,15,西风,4,1.5,99,13
四平,22,15,西风,4,2.3,99,12
四平,23,15,西风,4,1.1,99,11
四平,00,15,西风,4,0.2,99,10
四平,01,15,西风,4,0,99,10
四平,02,15,西风,3,0.1,99,10
四平,03,14,西风,4,2.9,99,10
四平,04,14,西南风,3,0,99,10
四平,05,,,,,,
通化,06,18,西北风,2,3.6,96,24
通化,07,17,北风,2,6.6,97,25
通化,08,17,北风,2,4.7,95,25
通化,09,17,西北风,3,9.4,96,28
通化,10,17,北风,3,6.6,94,29
通化,11,17,北风,3,6.1,94,29
通化,12,17,西北风,3,7.9,94,28
通化,13,16,西风,3,7.1,95,25
通化,14,16,西风,3,5.7,93,24
通化,15,16,西风,3,2.2,91,26
通化,16,16,西南风,3,0.9,91,26
通化,17,16,西南风,3,0.6,92,24
通化,18,16,西南风,3,0.7,89,20
通化,19,16,西南风,3,1,91,21
通化,20,15,西南风,2,0.2,89,21
通化,21,15,西南风,2,0,87,21
通化,22,15,西南风,2,0,89,18
通化,23,15,西南风,2,0,86,18
通化,00,15,西南风,2,0,85,18
通化,01,15,西风,1,0,88,17
通化,02,15,西南风,2,0,88,16
通化,03,15,西南风,2,0,89,15
通化,04,14,西风,1,0,90,14
通化,05,,,,,,
白城,06,14,北风,2,0,93,9
白城,07,15,北风,3,0,92,9
白城,08,16,北风,3,0,89,9
白城,09,17,北风,3,0,83,9
白城,10,18,北风,3,0,80,8
白城,11,19,北风,4,0,77,14
白城,12,19,北风,4,0,76,14
白城,13,18,北风,4,0,77,16
白城,14,18,北风,4,0,79,13
白城,15,17,北风,4,0,90,12
白城,16,17,北风,4,0.7,94,13
白城,17,16,西北风,4,2.9,97,12
白城,18,15,西北风,4,4.5,99,11
白城,19,15,西北风,5,6.2,99,10
白城,20,15,西北风,5,5.3,99,11
白城,21,14,西北风,4,6.5,99,11
白城,22,14,西北风,4,6,99,11
白城,23,14,西风,4,5.7,98,12
白城,00,14,西北风,3,3.9,99,12
白城,01,14,西风,4,4,97,12
白城,02,14,西风,4,3.8,97,14
白城,03,14,西南风,5,2.6,97,14
白城,04,14,西南风,5,1.3,97,12
白城,05,,,,,,
辽源,06,18,西北风,1,2.6,99,19
辽源,07,18,北风,1,2.2,99,20
辽源,08,18,北风,2,2.8,99,16
辽源,09,19,北风,2,4.1,99,18
辽源,10,18,北风,3,1.4,96,20
辽源,11,17,北风,4,1.9,96,24
辽源,12,17,西北风,4,3.7,99,24
辽源,13,16,西北风,4,5.9,99,26
辽源,14,16,西北风,5,8.4,99,27
辽源,15,16,西北风,4,6.2,99,25
辽源,16,16,西北风,4,7.7,99,35
辽源,17,16,西北风,5,6.1,99,32
辽源,18,15,西风,5,3.1,97,19
辽源,19,15,西风,4,3,98,20
辽源,20,15,西风,3,2.1,99,20
辽源,21,15,西风,3,1.5,99,21
辽源,22,15,西南风,3,0.9,99,20
辽源,23,15,西南风,3,0.1,99,17
辽源,00,15,西南风,3,0.1,100,15
辽源,01,15,西南风,3,0.4,100,15
辽源,02,15,西南风,2,0.6,100,15
辽源,03,15,西南风,2,0,98,16
辽源,04,14,西南风,2,0,97,15
辽源,05,,,,,,
松原,06,18,西南风,2,0,90,16
松原,07,18,西南风,2,0,88,16
松原,08,19,西南风,3,0,84,18
松原,09,18,西南风,3,0,87,18
松原,10,18,西南风,3,0.3,89,24
松原,11,18,西南风,2,2.6,93,18
松原,12,18,西南风,3,3.1,95,20
松原,13,18,西南风,3,2,96,29
松原,14,17,西南风,4,3.5,96,15
松原,15,17,西南风,4,7.3,94,12
松原,16,17,西南风,4,17.3,94,14
松原,17,16,西南风,4,15.2,95,20
松原,18,16,西南风,4,16.4,96,22
松原,19,16,西南风,4,10.4,95,22
松原,20,16,西南风,4,5.5,95,40
松原,21,16,西南风,4,5,96,38
松原,22,16,西南风,4,2.7,99,15
松原,23,15,西南风,3,4.8,99,10
松原,00,15,西南风,4,5,99,11
松原,01,15,西南风,5,2.8,96,12
松原,02,15,西南风,4,2.1,94,15
松原,03,14,西南风,5,2.1,94,14
松原,04,14,西南风,4,1.7,94,17
松原,05,,,,,,
白山,06,17,北风,1,4.6,100,20
白山,07,17,西风,1,7.2,100,21
白山,08,17,北风,1,6.4,99,22
白山,09,17,东南风,1,4.3,100,19
白山,10,17,西南风,2,8.1,100,17
白山,11,17,西风,1,7.2,100,24
白山,12,17,北风,2,6.1,100,25
白山,13,16,西南风,3,7.3,100,24
白山,14,16,西南风,4,13.5,100,22
白山,15,16,西南风,4,5.6,100,23
白山,16,15,西南风,4,1.7,99,25
白山,17,15,西南风,4,2.8,100,23
白山,18,15,西南风,4,5.4,100,19
白山,19,15,西南风,4,1.4,97,24
白山,20,15,西南风,3,0.4,100,22
白山,21,14,西南风,3,0.2,100,22
白山,22,14,西南风,2,0,100,26
白山,23,14,西南风,2,0,98,26
白山,00,14,西南风,2,0.1,98,22
白山,01,14,西南风,1,0,98,24
白山,02,14,南风,2,0,97,25
白山,03,14,南风,1,0,95,25
白山,04,13,南风,2,0,98,28
白山,05,,,,,,
沈阳,06,20,西北风,3,0,80,21
沈阳,07,19,北风,3,0.2,91,22
沈阳,08,19,西北风,3,0.9,94,22
沈阳,09,19,西北风,2,1.2,94,21
沈阳,10,19,西北风,2,3.4,94,20
沈阳,11,18,西北风,3,2.5,92,18
沈阳,12,18,西北风,2,2.6,93,22
沈阳,13,19,西风,2,2.6,93,17
沈阳,14,18,西北风,3,2.5,90,15
沈阳,15,18,西北风,3,2.2,91,14
沈阳,16,17,西风,3,1.2,89,14
沈阳,17,17,西风,3,0.7,88,16
沈阳,18,17,西风,3,0.1,87,16
沈阳,19,17,西南风,3,0.2,88,16
沈阳,20,17,西南风,2,0.1,92,14
沈阳,21,16,西南风,2,0,92,13
沈阳,22,17,南风,1,0,92,14
沈阳,23,16,南风,2,0,94,14
沈阳,00,16,南风,2,0,93,15
沈阳,01,16,南风,2,0.6,91,18
沈阳,02,16,西南风,1,0.2,93,18
沈阳,03,16,南风,1,0,93,21
沈阳,04,16,南风,2,0,92,28
沈阳,05,,,,,,
大连,06,22,北风,3,0,63,18
大连,07,23,北风,3,0,62,16
大连,08,24,北风,3,0,63,17
大连,09,23,北风,4,0,62,19
大连,10,24,北风,3,0,61,21
大连,11,24,北风,3,0,60,21
大连,12,24,北风,3,0,60,24
大连,13,23,北风,4,0,61,25
大连,14,24,北风,4,0,60,26
大连,15,24,西北风,3,0,59,25
大连,16,24,北风,3,0,56,23
大连,17,23,北风,2,0,56,21
大连,18,21,西风,3,0,65,22
大连,19,18,西风,3,0.5,86,24
大连,20,17,西北风,2,1.5,81,20
大连,21,18,西风,1,0.5,83,19
大连,22,17,西南风,2,0,82,20
大连,23,18,西南风,2,0,79,17
大连,00,18,西南风,2,0,80,16
大连,01,19,西南风,2,0,81,16
大连,02,20,西南风,2,0,83,18
大连,03,20,西南风,3,0,78,20
大连,04,20,西南风,2,0,79,21
大连,05,,,,,,
鞍山,06,20,北风,2,0,77,27
鞍山,07,18,北风,3,1.3,89,27
鞍山,08,19,北风,2,0.1,88,29
鞍山,09,19,北风,3,0.1,86,27
鞍山,10,19,北风,3,0.1,88,27
鞍山,11,18,北风,3,0.9,90,27
鞍山,12,18,北风,3,1.4,90,27
